id,name,description,collection,role,rarity,image
JU_030,Evidence of Action,Tapp had little time to react. He chased the cloaked figure.,The Book of Saw,Survivor,Common,images/Customization/Charms/JU_030.png
JU_031,Evidence of Torture,A bloody game was planned for a young man.,The Book of Saw,Survivor,Common,images/Customization/Charms/JU_031.png
JU_032,Evidence of Agony,Detective Tapp agonized over the choice he made.,The Book of Saw,General,Uncommon,images/Customization/Charms/JU_032.png
JU_033,Lunar Tiger,A brave predator with a ferocious bite.,Lurking Stripes,General,Special Event,images/Customization/Charms/JU_033.png
JU_034,Courageous Tiger,A statuette depicting the third animal of the Chinese zodiac.,Lurking Stripes,General,Special Event,images/Customization/Charms/JU_034.png
K01_PCharm001,Iridescent Unnerving Presence Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K01_PCharm001.png
K01_PCharm002,Iridescent Brutal Strength Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K01_PCharm002.png
K01_PCharm003,Iridescent Agitation Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K01_PCharm003.png
K02_PCharm001,Iridescent Predator Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K02_PCharm001.png
K02_PCharm002,Iridescent Bloodhound Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K02_PCharm002.png
K02_PCharm003,Iridescent Shadowborn Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K02_PCharm003.png
K03_PCharm001,Iridescent Enduring Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K03_PCharm001.png
K03_PCharm002,Iridescent Lightborn Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K03_PCharm002.png
K03_PCharm003,Iridescent Tinkerer Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K03_PCharm003.png
K04_PCharm001,Iridescent Stridor Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K04_PCharm001.png
K04_PCharm002,Iridescent Thanatophobia Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K04_PCharm002.png
K04_PCharm003,Iridescent A Nurse's Calling Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K04_PCharm003.png
K05_PCharm001,Iridescent Hex: The Third Seal Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K05_PCharm001.png
K05_PCharm002,Iridescent Hex: Ruin Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K05_PCharm002.png
K05_PCharm003,Iridescent Hex: Devour Hope Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K05_PCharm003.png
K06_PCharm001,Iridescent Save the Best for Last Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K06_PCharm001.png
K06_PCharm002,Iridescent Play with Your Food Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K06_PCharm002.png
K06_PCharm003,Iridescent Dying Light Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K06_PCharm003.png
K07_PCharm001,Iridescent Overwhelming Presence Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K07_PCharm001.png
K07_PCharm002,Iridescent Monitor & Abuse Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K07_PCharm002.png
K07_PCharm003,Iridescent Overcharge Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K07_PCharm003.png
K08_PCharm001,Iridescent Beast of Prey Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K08_PCharm001.png
K08_PCharm002,Iridescent Territorial Imperative Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K08_PCharm002.png
K08_PCharm003,Iridescent Hex: Huntress Lullaby Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K08_PCharm003.png
K09_PCharm001,Iridescent Knock Out Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K09_PCharm001.png
K09_PCharm002,Iridescent Barbecue & Chili Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K09_PCharm002.png
K09_PCharm003,Iridescent Franklin's Demise Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K09_PCharm003.png
K10_PCharm001,Iridescent Fire Up Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K10_PCharm001.png
K10_PCharm002,Iridescent Remember Me Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K10_PCharm002.png
K10_PCharm003,Iridescent Blood Warden Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K10_PCharm003.png
K11_PCharm001,Iridescent Hangman's Trick Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K11_PCharm001.png
K11_PCharm002,Iridescent Surveillance Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K11_PCharm002.png
K11_PCharm003,Iridescent Make Your Choice Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K11_PCharm003.png
K12_PCharm001,Iridescent Bamboozle Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K12_PCharm001.png
K12_PCharm002,Iridescent Coulrophobia Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K12_PCharm002.png
K12_PCharm003,Iridescent Pop Goes the Weasel Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K12_PCharm003.png
K13_PCharm001,Iridescent Spirit Fury Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K13_PCharm001.png
K13_PCharm002,Iridescent Hex: Haunted Ground Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K13_PCharm002.png
K13_PCharm003,Iridescent Rancor Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K13_PCharm003.png
K14_PCharm001,Iridescent Discordance Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K14_PCharm001.png
K14_PCharm002,Iridescent Mad Grit Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K14_PCharm002.png
K14_PCharm003,Iridescent Iron Maiden Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K14_PCharm003.png
K15_PCharm001,Iridescent Corrupt Intervention Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K15_PCharm001.png
K15_PCharm002,Iridescent Infectious Fright Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K15_PCharm002.png
K15_PCharm003,Iridescent Dark Devotion Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K15_PCharm003.png
K16_PCharm001,Iridescent I'm All Ears Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K16_PCharm001.png
K16_PCharm002,Iridescent Thrilling Tremors Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K16_PCharm002.png
K16_PCharm003,Iridescent Furtive Chase Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K16_PCharm003.png
K17_PCharm001,Iridescent Jolt Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K17_PCharm001.png
K17_PCharm002,Iridescent Fearmonger Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K17_PCharm002.png
K17_PCharm003,Iridescent Claustrophobia Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K17_PCharm003.png
K18_PCharm001,Iridescent Zanshin Tactics Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K18_PCharm001.png
K18_PCharm002,Iridescent Blood Echo Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K18_PCharm002.png
K18_PCharm003,Iridescent Nemesis Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K18_PCharm003.png
K19_PCharm001,Iridescent Gearhead Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K19_PCharm001.png
K19_PCharm002,Iridescent Dead Man's Switch Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K19_PCharm002.png
K19_PCharm003,Iridescent Hex: Retribution Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K19_PCharm003.png
K20_PCharm001,Iridescent Forced Penance Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K20_PCharm001.png
K20_PCharm002,Iridescent Trail of Torment Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K20_PCharm002.png
K20_PCharm003,Iridescent Deathbound Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K20_PCharm003.png
K21_PCharm001,Iridescent Dragon's Grip Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K21_PCharm001.png
K21_PCharm002,Iridescent Hex: Blood Favor Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K21_PCharm002.png
K21_PCharm003,Iridescent Hex: Undying Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K21_PCharm003.png
K22_PCharm001,Iridescent Hoarder Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K22_PCharm001.png
K22_PCharm002,Iridescent Oppression Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K22_PCharm002.png
K22_PCharm003,Iridescent Coup de Grâce Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K22_PCharm003.png
K23_PCharm001,Iridescent Starstruck Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K23_PCharm001.png
K23_PCharm002,Iridescent Hex: Crowd Control Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K23_PCharm002.png
K23_PCharm003,Iridescent No Way Out Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K23_PCharm003.png
K24_PCharm001,Iridescent Lethal Pursuer Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K24_PCharm001.png
K24_PCharm002,Iridescent Hysteria Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K24_PCharm002.png
K24_PCharm003,Iridescent Eruption Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K24_PCharm003.png
K25_PCharm001,Iridescent Deadlock Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K25_PCharm001.png
K25_PCharm002,Iridescent Hex: Plaything Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K25_PCharm002.png
K25_PCharm003,Iridescent Scourge Hook: Gift of Pain Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K25_PCharm003.png
K26_PCharm001,Iridescent Grim Embrace Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K26_PCharm001.png
K26_PCharm002,Iridescent Scourge Hook: Pain Resonance Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K26_PCharm002.png
K26_PCharm003,Iridescent Hex: Pentimento Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K26_PCharm003.png
K27_PCharm001,Iridescent Scourge Hook: Floods of Rage Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K27_PCharm001.png
K27_PCharm002,Iridescent Call of Brine Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K27_PCharm002.png
K27_PCharm003,Iridescent Merciless Storm Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K27_PCharm003.png
K28_PCharm001,Iridescent Dissolution Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K28_PCharm001.png
K28_PCharm002,Iridescent Darkness Revealed Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K28_PCharm002.png
K28_PCharm003,Iridescent Septic Touch Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K28_PCharm003.png
K29_PCharm001,Iridescent Superior Anatomy Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K29_PCharm001.png
K29_PCharm002,Iridescent Awakened Awareness Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K29_PCharm002.png
K29_PCharm003,Iridescent Terminus Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K29_PCharm003.png
K30_PCharm001,Iridescent Nowhere to Hide Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K30_PCharm001.png
K30_PCharm002,Iridescent Hex: Face the Darkness Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K30_PCharm002.png
K30_PCharm003,Iridescent Hubris Charm,A keepsake gained upon mastery of a particular skill.,,Killer,Uncommon,images/Customization/PerkCharms/K30_PCharm003.png
KE_001,Wrathful Well,An old stone well haunted by a wrathful presence.,Ringu,General,Rare,images/Customization/Charms/KE_001.png
KE_002,Cursed Videotape,A videotape filled with disturbing images.,Ringu,General,Uncommon,images/Customization/Charms/KE_002.png
KE_003,Pot of Gold,A shimmering pot at the far end of a rainbow.,Fortune's Favor,General,Very Rare,images/Customization/Charms/KE_003.png
LI_001,Curious Concoction,A mixture of foul ichors gathered by the Observer.,Devotion,General,Uncommon,images/Customization/Charms/LI_001.png
LI_002,Congealing Concoction,A strange shape begins to take form inside the vial.,Devotion,General,Rare,images/Customization/Charms/LI_002.png
LI_003,Crystalizing Concoction,The sediments harden and twist into a familiar and horrifying shape.,Devotion,General,Very Rare,images/Customization/Charms/LI_003.png
LI_004,Conscious Concoction,"Whatever was in here, it was unmistakably alive.",Devotion,General,Ultra Rare,images/Customization/Charms/LI_004.png
LI_005,Pub Dartboard,"Whose idea was it to give drunk people sharp projectiles, anyway",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/LI_005.png
LI_006,Jeff’s Rescue Pittie,Did Jeff rescue the dog or did the dog rescue Jeff,Ormond Memories,Survivor,Rare,images/Customization/Charms/LI_006.png
LI_007,Rugby Championship,"Of all his rugby awards, this is the one of which David is most proud.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/LI_007.png
LI_008,David King Rugby Figurine,"An absolute terror on the pitch, David set records that may never be broken.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/LI_008.png
LI_009,Death Mirror CD,What’s better than a new album by your favorite band? Getting to design its album cover.,Ormond Memories,Survivor,Uncommon,images/Customization/Charms/LI_009.png
LI_010,Susie's Locker,A typical high-school locker. Plus or minus a few weapons.,Ormond Memories,Killer,Rare,images/Customization/Charms/LI_010.png
LI_011,Porcelain Dolls,"A doll from Charlotte’s childhood with its chest smashed, and a smaller doll representing Victor inserted.",Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/LI_011.png
LI_012,Susie's Notebook,"Filled with attempts to come up with a Legion logo, but none of them came out quite right.",Ormond Memories,Killer,Uncommon,images/Customization/Charms/LI_012.png
LI_013,Reynard's Den Sign,The pub David worked at. Carries fond memories of sticky floors and the smell of stale lager.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/LI_013.png
LI_014,Susie's Student ID,Anyone who hoped to get a positive visual on Susie after seeing this card will be sorely disappointed.,Ormond Memories,Killer,Common,images/Customization/Charms/LI_014.png
LI_015,Louise's Sugar Shack,A magical place with treats so delicious they can only run it a few months a year.,Cabane A Sucre,General,Common,images/Customization/Charms/LI_015.png
LI_016,Victor's Toy Soldier,"Madeleine bought a porcelain doll and a toy soldier: one for if she had a girl, and one for a boy. The reality of the situation was far more complicated.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/LI_016.png
LI_017,Jeff's Ormond Sketch,A regular noticed Jeff’s sketches and commissioned a mural at the abandoned lodge up Mount Ormond.,Ormond Memories,Survivor,Common,images/Customization/Charms/LI_017.png
LI_018,Witch Hunter's Tome,A book filled with sickening trials for witches carried by those hunting Victor and Charlotte.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/LI_018.png
LI_019,Child's Coffin,Nobody expected Charlotte and Victor to survive beyond infancy. This coffin remains unfilled.,Killer Memorabilia,Killer,Common,images/Customization/Charms/LI_019.png
LI_020,Maple and Bacon Poutine,"As if this savory snack weren’t already perfect, they’ve been upgraded with maple-infused bacon.",Cabane A Sucre,General,Rare,images/Customization/Charms/LI_020.png
LI_021,Entity-Covered Flashlight,"The Entity will choke out all light, great and small.",Devotion,General,Ultra Rare,images/Customization/Charms/LI_021.png
LI_022,Sugary Maple Syrup,Amber-colored syrup that makes any meal better. Or at least stickier.,Cabane A Sucre,General,Rare,images/Customization/Charms/LI_022.png
LI_023,The Abhorred Outcasts,A rare circumstance of birth led to a life of discrimination.,A Dream of Escape,Killer,Common,images/Customization/Charms/LI_023.png
LI_024,The Hunted Outcasts,"Without protection from maman, they lived their lives on the run.",A Dream of Escape,Killer,Common,images/Customization/Charms/LI_024.png
LI_025,The Desperate Outcasts,"Away from civilization, they struggled to survive.",A Dream of Escape,Killer,Common,images/Customization/Charms/LI_025.png
LI_026,The Escaping Outcasts,Dreams of travelling to the new world gave them motivation to push on.,A Dream of Escape,Killer,Common,images/Customization/Charms/LI_026.png
LI_027,The Inseparable Outcasts,Nothing could tear them apart. Not even death.,A Dream of Escape,Killer,Uncommon,images/Customization/Charms/LI_027.png
LI_028,The Distant Athlete,His life was punctuated and defined by violence.,King of Manchester,Survivor,Common,images/Customization/Charms/LI_028.png
LI_029,The Infamous Athlete,He felt the burden of expectations from family and fans.,King of Manchester,Survivor,Common,images/Customization/Charms/LI_029.png
LI_030,The Melancholy Athlete,"Fearless in the face of a fight, a different confrontation terrified him.",King of Manchester,Survivor,Common,images/Customization/Charms/LI_030.png
LI_031,The Remorseful Athlete,"Battered and bruised, he found the conviction to speak his truth.",King of Manchester,Survivor,Common,images/Customization/Charms/LI_031.png
LI_032,The Solitary Athlete,He found within himself a new type of courage.,King of Manchester,Survivor,Uncommon,images/Customization/Charms/LI_032.png
LI_033,Progress Flag,The only way forward is together!,Pride 2022,General,Uncommon,images/Customization/Charms/LI_033.png
ME_004,Feathers of Pride,"Spread your wings and soar, no matter who you are.",Pride 2022,General,Rare,images/Customization/Charms/ME_004.png
ME_006,Maple Leaf,With love from the developers of Dead By Daylight in the frozen north.,Canada Day 2022,General,Uncommon,images/Customization/Charms/ME_006.png
ME_007,Entity’s Embrace,For the folks who make all this horror possible.,,General,Ultra Rare,images/Customization/Charms/ME_007.png
ME_008,Hammer of Exile,"A mallet designed to banish interlopers. Hopefully, it never needs to be used.",,General,Rare,images/Customization/Charms/ME_008.png
ME_009,Captured Heart,Lovers in a dangerous realm.,Hooked on You,General,Very Rare,images/Customization/Charms/ME_009.png
ME_010,Rancid Cupcake,I wouldn’t eat that if I were you.,Twisted Masquerade Collection,General,Special Event,images/Customization/Charms/ME_010.png
ME_011,Pop-up Card,Pop-up cards: the original jump scares.,Twisted Masquerade Collection,Killer,Special Event,images/Customization/Charms/ME_011.png
ME_012,Celebratory Skull,Legend has it that the last person to wear a party hat in the fog ended up like this.,Twisted Masquerade Collection,Survivor,Special Event,images/Customization/Charms/ME_012.png
NO_001,Bizarre Bunny,"An adorable rabbit! Something about it seems a little weird, though.",Discordance,General,Uncommon,images/Customization/Charms/NO_001.png
NO_002,Bursting Bunny,What’s its head doing? What is that sound they’re making? That can’t be right.,Discordance,General,Rare,images/Customization/Charms/NO_002.png
NO_003,Bloodcurdling Bunny,Maybe it’s time to start running.,Discordance,General,Very Rare,images/Customization/Charms/NO_003.png
NO_004,Beastly Bunny,Oh no. No no no. No NO NO NO,Discordance,General,Ultra Rare,images/Customization/Charms/NO_004.png
NO_005,Carrot Hoarder,"A seemingly trustworthy rabbit. This one seems vegan, at least.",Discordance,Survivor,Uncommon,images/Customization/Charms/NO_005.png
NO_006,Podcast Player,"A phone, mostly used to watch a popular web series.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/NO_006.png
NO_007,Abby,Science Girl’s faithful sidekick.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/NO_007.png
NO_008,Jonah Vasquez Figurine,"A brilliant codebreaker, hounded by a series of numbers he couldn’t quite crack.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/NO_008.png
NO_009,Science Girl Issue #1,"It may not be worth as much as some first issues, but it means a lot to Claudette.",Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/NO_009.png
NO_010,Obliterated Ambulance,"The ambulance they took Sally in never made it to the hospital, and she was assumed dead.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/NO_010.png
NO_011,Blighted Crow,The Bleed did things to the flora and fauna that Talbot would spend the rest of his life trying to understand.,Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/NO_011.png
NO_012,Stolen Pocketwatch,A pocketwatch that belonged in life to another nurse at Crotus Prenn.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/NO_012.png
NO_013,Science Girl Logo,Claudette’s logo for her childhood alter ego: Science Girl.,Survivor Memorabilia,Survivor,Common,images/Customization/Charms/NO_013.png
NO_014,The Padded Room,"A room for a patient of Crotus Prenn, intended to keep them safe from themselves.",Killer Memorabilia,Killer,Common,images/Customization/Charms/NO_014.png
NO_015,The Auris,"Evidence that the Observer was once, in fact, here.",Discordance,General,Common,images/Customization/Charms/NO_015.png
NO_016,Poisonous Foxglove,"If its beauty isn’t heartstopping enough, the poison within it certainly is.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/NO_016.png
NO_017,Deadly Fluffle,A fluffle is a group of rabbits. Sometimes seeing a fluffle means it’s time to run.,Discordance,Survivor,Common,images/Customization/Charms/NO_017.png
NO_018,Vigo’s Journal,His scribbles and scratchings speak to a brilliant mind that began to lose grip on reality.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/NO_018.png
NO_019,Foul Fungus,A scraping from the Tree of Death. The smell permeates even thick glass.,Killer Memorabilia,Killer,Common,images/Customization/Charms/NO_019.png
NO_020,Gnaw-rly Waves,"The easiest way to learn if the water is safe is to find out, conclusively, that it isn’t.",Survivor Memorabilia,General,Rare,images/Customization/Charms/NO_020.png
NO_021,Terror Carousel,A mortifying carnival ride clearly inspired by a designer’s nightmares.,Midsummer Mayhem,General,Ultra Rare,images/Customization/Charms/NO_021.png
NO_022,Killer Corn Husk,A corn husk doll made to conceal a hidden blade.,Midsummer Mayhem,General,Rare,images/Customization/Charms/NO_022.png
NO_023,Curious Chemist,He followed a lead to North Africa to learn of a curious new lifeform.,Enter The Bleed Collection,Killer,Common,images/Customization/Charms/NO_023.png
NO_024,Intellectual Chemist,"Surrounded by some of humanity’s most depraved members, he reflected on the human condition.",Enter The Bleed Collection,Killer,Common,images/Customization/Charms/NO_024.png
NO_025,Tenacious Chemist,"Confronted with this terrifying thing called the Bleed, he steeled his nerves and went in.",Enter The Bleed Collection,Killer,Common,images/Customization/Charms/NO_025.png
NO_026,Mystified Chemist,"Surrounded by bizarre and surreal blue and purple vines, he approached the situation the only way he knew how. Like a chemist.",Enter The Bleed Collection,Killer,Common,images/Customization/Charms/NO_026.png
NO_027,Sublime Chemist,"In the Bleed, something within him changed.",Enter The Bleed Collection,Killer,Uncommon,images/Customization/Charms/NO_027.png
NO_028,Analytical Agent,"He was a professional codebreaker for the Agency, an elite puzzle-solver.",Covert Codebreaker Collection,Survivor,Common,images/Customization/Charms/NO_028.png
NO_029,Rebellious Agent,His superiors didn't like how close he was getting to the truth.,Covert Codebreaker Collection,Survivor,Common,images/Customization/Charms/NO_029.png
NO_030,Uncertain Agent,"One name didn't fit the list he decoded: among billionaires and corporations, a high school teacher.",Covert Codebreaker Collection,Survivor,Common,images/Customization/Charms/NO_030.png
NO_031,Embroiled Agent,The teacher led him deeper down the rabbit hole.,Covert Codebreaker Collection,Survivor,Common,images/Customization/Charms/NO_031.png
NO_032,Unearthing Agent,"He, and only he, could root out the corruption that went all the way to the top.",Covert Codebreaker Collection,Survivor,Uncommon,images/Customization/Charms/NO_032.png
NO_033,Killer of the Sea,"Thankfully, they haven't started killing on land. Yet.",Midsummer Mayhem,General,Rare,images/Customization/Charms/NO_033.png
NO_034,Scout Regiment Crest,The Scout Regiment handled the most dangerous tasks in the fight against the Titans.,Attack on Titan Collection,Survivor,Uncommon,images/Customization/Charms/NO_034.png
NO_035,Military Police Regiment Crest,Only the best and brightest were invited to apply to this branch of the military.,Attack on Titan Collection,Survivor,Uncommon,images/Customization/Charms/NO_035.png
NO_036,Garrison Regiment Crest,Their duty was to maintain order inside the Walls.,Attack on Titan Collection,Survivor,Uncommon,images/Customization/Charms/NO_036.png
NO_037,Cadet Corps Crest,The Cadet Corps did its best to give new soldiers the tools they needed to survive.,Attack on Titan Collection,General,Uncommon,images/Customization/Charms/NO_037.png
NO_038,Wall Titan,Nobody could have expected what they’d see when a hole was punched in the wall.,Attack on Titan Collection,Killer,Uncommon,images/Customization/Charms/NO_038.png
OR_001,Blue Vial,One of Umbrella’s first breakthroughs in bio organic weaponry. This sample has been made inert.,PROJECT W Collection,General,Rare,images/Customization/Charms/OR_001.png
OR_002,Green Vial,A further breakthrough that could cause extreme mutations. This sample has been made inert.,PROJECT W Collection,General,Rare,images/Customization/Charms/OR_002.png
OR_003,Purple Vial,"A step above the contents of the previous breakthrough, it could repair dead cells in the host. This sample has been made inert.",PROJECT W Collection,General,Rare,images/Customization/Charms/OR_003.png
OR_004,Red Vial,"Created by combining the contents of previous experiments, it would cause terrifying mutations and raise the dead. This sample has been made inert.",PROJECT W Collection,General,Rare,images/Customization/Charms/OR_004.png
