id,survivorID,killerID,outfitID,name,description,role,type,collection,rarity,purchasable,image
FM_Torso014,8,,FM_outfit_014,Kitty Vest & Dress shirt,A comfortable look for a day out and improvised pictures amongst eSports legends.,Survivor,Torso,Seoul Sights,Very Rare,1,images/Customization/Feng/FM_Torso014.png
FM_Torso014_01,8,,FM_outfit_01_06,Silent Top,A splash of color brightens what’s usually a monochrome look for the common mime.,Survivor,Torso,Halloween 2021,Very Rare,0,images/Customization/Feng/FM_Torso014_01.png
FM_Torso015,8,,FM_outfit_015,Shining Lion Merch,"Cute, puffy sweater branded with her livestream channel name.",Survivor,Torso,Gameplay Expo,Very Rare,1,images/Customization/Feng/FM_Torso015.png
FM_Torso016,8,,FM_outfit_016,Scorpion Shell Mk II Armor,Feng Min’s custom-made ranger uniform that made the rounds with her to many conventions.,Survivor,Torso,Nebula Arc,Rare,0,images/Customization/Feng/FM_Torso016.png
FM_Torso016_01,8,,FM_outfit_016_01,Scorpion Shell Mk III Armor,Feng Min’s second crack at a custom-made ranger uniform that made the rounds with her to many conventions.,Survivor,Torso,Astronomical Apparel,Rare,0,images/Customization/Feng/FM_Torso016_01.png
FM_Torso017,8,,FM_outfit_017,Cute Top & Stuffed Animal,A soft cardigan thrown over her cotton pyjamas for a several layers of comfort. Paired with a cute plush made by a fan.,Survivor,Torso,Cozy Break,Very Rare,0,images/Customization/Feng/FM_Torso017.png
FM_Torso018,8,,FM_outfit_018,Emblazoned Puffer Jacket,"A warm coat festooned with patches and buttons. Feng Min may look like Little Red Riding Hood, but in-game, make no mistake: she's the wolf.",Survivor,Torso,Modern Tales,Very Rare,1,images/Customization/Feng/FM_Torso018.png
FM_Torso019,8,,FM_outfit_019,Kitty Knapsack,"A dreamy top and adorable pack with a handheld console strapped to the side. Even on vacation, Feng Min never stops gaming.",Survivor,Torso,Waterfront Massacre,Very Rare,0,images/Customization/Feng/FM_Torso019.png
FM_Torso01_04,8,,FM_outfit_01_04,Violet Burst,A special Laser Bears uniform worn during the 2014 Nebula Arc championship and retired within the hall of fame.,Survivor,Torso,Spring Harvest,Rare,1,images/Customization/Feng/FM_Torso01_04.png
FM_Torso01_05,8,,,Twitchy Feng,Twitchy Feng is twitching.,Survivor,Torso,,Uncommon,0,images/Customization/Feng/FM_Torso01_05.png
FM_Torso01_06,8,,,Gaming Ribcage,The bones of a ferocious competitor.,Survivor,Torso,Tricks And Treats,Special Event,0,images/Customization/Feng/FM_Torso01_06.png
FM_Torso01_CNEvent02,8,,,Laser Bears Victory Polo,Special edition Laser Bears' polo shirt celebrating their victory in the 2016 tournament.,Survivor,Torso,,Ultra Rare,0,images/Customization/DLC4/FM_Torso01_CNEvent02.png
FM_Torso01_CNEvent03,8,,,Phoenix Rises Polo,A gold-trimmed polo with a phoenix motif.,Survivor,Torso,,Special Event,0,images/Customization/LunarEvent/FM_Torso01_CNEvent03.png
FM_Torso01_CV01,8,,Feng_outfit_010,Tournament Polo (Lime Green),,Survivor,Torso,Feng Essentials,Common,1,images/Customization/Feng/FM_Torso01_CV01.png
FM_Torso01_CV02,8,,Feng_outfit_011,Tournament Polo (Brown),,Survivor,Torso,Feng Essentials,Common,1,images/Customization/Feng/FM_Torso01_CV02.png
FM_Torso01_CV03,8,,Feng_outfit_012,Tournament Polo (Red / Teal),,Survivor,Torso,Feng Essentials,Common,1,images/Customization/Feng/FM_Torso01_CV03.png
FM_Torso01_CV04,8,,Feng_outfit_013,Tournament Polo (Teal / Magenta),,Survivor,Torso,Feng Essentials,Common,1,images/Customization/Feng/FM_Torso01_CV04.png
FM_Torso01_CV08,8,,Feng_outfit_014,Tournament Polo (Purple / Black),,Survivor,Torso,Feng Essentials,Common,1,images/Customization/Feng/FM_Torso01_CV08.png
FM_Torso02,8,,,Day Off Wrap,A comfy and soft wool wrap that keeps you warm and cozy on rainy afternoons.,Survivor,Torso,,Common,0,images/Customization/DLC4/FM_Torso02.png
FM_Torso020,8,,FM_outfit_020,Girl Group Crop Top,She used the prize money from a local tournament to deck herself out in merch.,Survivor,Torso,Pop Superstar Collection,Very Rare,1,images/Customization/Feng/FM_Torso020.png
FM_Torso021,8,,FM_outfit_021,Homemade Holster,"She was impressed with how realistic this holster was, given that it was built from parts of old costumes.",Survivor,Torso,Project W Collection,Very Rare,1,images/Customization/Feng/FM_Torso021.png
FM_Torso022,8,,FM_outfit_022,Replica Princess Top,"Princess Heart represented bravery, loyalty, and love—and a rather expensive custom-made purchase.",Survivor,Torso,Silent Hill Collection,Very Rare,1,images/Customization/Feng/FM_Torso022.png
FM_Torso023,8,,FM_outfit_023,Rabbit Punch,She sewed a cute animal emblem on her puffy jacket to symbolize elegance and talent.,Survivor,Torso,Moonlight Burrow,Very Rare,0,images/Customization/Feng/FM_Torso023.png
FM_Torso024,8,,FM_outfit_024,The Lion’s Teeth,The two beasts tighten their jaws around her waist.,Survivor,Torso,Of Blood And Rust Collection,Rare,0,images/Customization/Feng/FM_Torso024.png
FM_Torso024_01,8,,FM_outfit_024_01,The Lion’s Teeth (Deep Rift),The two ethereal beasts tighten their jaws around her waist.,Survivor,Torso,Deep Rift Collection,Rare,0,images/Customization/Feng/FM_Torso024_01.png
FS_Head006,12,,FS_outfit_006,Peaked Police Cap,"A traditional five-pointed cap, paired with dark glasses. If the suspect can't see Tapp's eyes, they can't see him observing them.",Survivor,Head,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Head006.png
FS_Head007,12,,FS_outfit_007,Blending In,"A more casual cut, to help Tapp fit in with the low-lifes he's investigating.",Survivor,Head,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Head007.png
FS_Head008,12,,FS_outfit_008,Freshly Cut,Nothing to grab in combat scenarios. One thing less to worry about!,Survivor,Head,True Swine,Very Rare,1,images/Customization/Tapp/FS_Head008.png
FS_Head010,12,,FS_outfit_010,Under the Sun,Kick back and take the sun on with a relaxed hat and shades.,Survivor,Head,The Book Of Saw,Very Rare,1,images/Customization/Tapp/FS_Head010.png
FS_Head02,12,,,Investigation Tapp,It's only a matter of time before he gets you.,Survivor,Head,,Common,0,images/Customization/Finland/FS_Head02.png
FS_Legs006,12,,FS_outfit_006,Walking the Beat,"Comfortable boots are the main wish of most cops. They keep feet warm, dry and protected over many miles a day.",Survivor,Legs,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Legs006.png
FS_Legs007,12,,FS_outfit_007,Dirty Slacks,Clean pants are a dead giveaway when undercover. The artful application of grime goes a long way in selling the role.,Survivor,Legs,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Legs007.png
FS_Legs008,12,,FS_outfit_008,Cargo Style,Non-regulation cargo pants once worn by police officers protesting against unfair working conditions and wage cuts.,Survivor,Legs,True Swine,Very Rare,1,images/Customization/Tapp/FS_Legs008.png
FS_Legs010,12,,FS_outfit_010,Butcher’s Cut,"If it’s gonna be medium-rare, it’s gotta be a little bloody.",Survivor,Legs,The Book Of Saw,Very Rare,1,images/Customization/Tapp/FS_Legs010.png
FS_Legs02,12,,,Duty Jeans,Comfortable blue jeans decorated with the City Homicide badge.,Survivor,Legs,,Common,0,images/Customization/Finland/FS_Legs02.png
FS_Torso006,12,,FS_outfit_006,Hardwearing Police Jacket,A jacket designed to keep the wearer comfortable in all weathers. The radio is mysteriously inoperable.,Survivor,Torso,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Torso006.png
FS_Torso007,12,,FS_outfit_007,"""This is a Raid!""",Tapp's scuffed jacket is paired with a bulletproof vest: essential for the raid that cracks the case.,Survivor,Torso,Career Cop,Very Rare,1,images/Customization/Tapp/FS_Torso007.png
FS_Torso008,12,,FS_outfit_008,Academy Dress,A comfortable jacket to spend free time in or chase down pigs in the slaughterhouse.,Survivor,Torso,True Swine,Very Rare,1,images/Customization/Tapp/FS_Torso008.png
FS_Torso009,12,,,Wary Greetings,"There was something suspicious nagging him. He couldn't focus on anything else, not even taking a well-deserved break during holidays; he had to investigate the matter further.",Survivor,Torso,Ugly Sweaters,Rare,0,images/Customization/Tapp/FS_Torso009.png
FS_Torso010,12,,FS_outfit_010,Tenderloin Top,BBQ attire that celebrates the animal on the grill.,Survivor,Torso,The Book Of Saw,Very Rare,1,images/Customization/Tapp/FS_Torso010.png
FS_Torso02,12,,,Investigation Suit,One of many sober outfits in Tapp's wardrobe.,Survivor,Torso,,Common,0,images/Customization/Finland/FS_Torso02.png
GK_Body006,,268435467,Clown_outfit_004,Got Nothing in My Pockets,,Killer,Body,Street Performer,Rare,1,images/Customization/Clown/GK_Body006.png
GK_Body007,,268435467,Clown_outfit_007,Surprise!,"Santa has gifts for all of you, whether you've been good…or bad.",Killer,Body,Holiday Horror,Very Rare,0,images/Customization/Clown/GK_Body007.png
GK_Body008,,268435467,Clown_outfit_008,Doublet and Hose,"Even in the 17th century, clowns were bright and colorful.",Killer,Body,Disparate Arts,Very Rare,1,images/Customization/Clown/GK_Body008.png
GK_Body009,,268435467,GK_outfit_009,Smell my Pustula,"His classic tailcoat burst open as his stomach inflated, tearing the flesh of his bulging belly.",Killer,Body,Hallowed Catalyst,Special Event,1,images/Customization/Clown/GK_Body009.png
GK_Body010,,268435467,GK_outfit_010,Mr. Puddles’ Headless Body,The blood from a previous adventure is still soaked into the adorable pink fabric. Fun!,Killer,Body,Community,Very Rare,1,images/Customization/Clown/GK_Body010.png
GK_Body011,,268435467,GK_outfit_011,Bloated Warrior,"A body formed of gluttony and carnage, with armor that barely contains him.",Killer,Body,Greek Legends,Very Rare,1,images/Customization/Clown/GK_Body011.png
GK_Body012,,268435467,GK_outfit_012,Knock’em Dead,"It’s the old ‘fat man in a little coat’ joke, but the punchline here is that he slashes your belly and cuts out your spleen. Admittedly, it’s never gotten many laughs from the audience.",Killer,Body,Crazed Carnie,Rare,1,images/Customization/Clown/GK_Body012.png
GK_Body013,,268435467,GK_outfit_013,Joyous Chicken,"No one even took notice of the stretched state of his costume, completely unaware that he should not be trusted with anything, let alone the young and gullible.",Killer,Body,Spring Ensemble,Very Rare,1,images/Customization/Clown/GK_Body013.png
GK_Body014,,268435467,GK_outfit_014,Patch Clash,"You’ve got your stripes, solids, and polka-dots, paired with an offensive number of gaudy colors and patches. No problems here.",Killer,Body,Deliverance,Very Rare,1,images/Customization/Clown/GK_Body014.png
GK_Body014_01,,268435467,GK_outfit_014_01,Dizzying Patterns,"When asked what kind of pattern he wanted for this costume, his answer was simply, “yes.”",Killer,Body,Midsummer Mayhem Collection,Very Rare,0,images/Customization/Clown/GK_Body014_01.png
GK_Body01_01,,268435467,Clown_outfit_002,Mime Artist Suit (Droll),,Killer,Body,The Showman,Uncommon,1,images/Customization/Clown/GK_Body01_01.png
GK_Body01_02,,268435467,Clown_outfit_003,Mime Artist Suit (Goofy),,Killer,Body,The Showman,Uncommon,1,images/Customization/Clown/GK_Body01_02.png
GK_Body01_CV01,,268435467,,Ringmaster Suit (Comical),,Killer,Body,Clown Aberrations,Common,1,images/Customization/Clown/GK_Body01_CV01.png
GK_Body01_CV02,,268435467,,Ringmaster Suit (Amusing),,Killer,Body,Clown Aberrations,Common,1,images/Customization/Clown/GK_Body01_CV02.png
GK_Body01_CV03,,268435467,,Ringmaster Suit (Jolly),,Killer,Body,Clown Aberrations,Common,1,images/Customization/Clown/GK_Body01_CV03.png
GK_Body01_CV04,,268435467,,Ringmaster Suit (Witty),,Killer,Body,Clown Aberrations,Common,1,images/Customization/Clown/GK_Body01_CV04.png
GK_Body01_CV05,,268435467,,Ringmaster Suit (Cheerful),,Killer,Body,Clown Aberrations,Common,1,images/Customization/Clown/GK_Body01_CV05.png
GK_Body02,,268435467,Clown_outfit_001,Pull My Finger,Hey you! Pull my finger…,Killer,Body,The Entertainer,Very Rare,1,images/Customization/Clown/GK_Body02.png
GK_Body02_03,,268435467,GK_outfit_02_03,Pull My Finger (White / Turquoise),"A classic, colorful clown costume with a bloodstained, ruffled collar.",Killer,Body,Entertainer,Very Rare,1,images/Customization/Clown/GK_Body02_03.png
GK_Body02_04,,268435467,GK_outfit_02_04,Belly Laughs,Show your victim how happy you are to see them with this costume.,Killer,Body,Halloween 2021,Rare,0,images/Customization/Clown/GK_Body02_04.png
GK_Head006,,268435467,Clown_outfit_004,Tilted Doll Hat,,Killer,Head,Street Performer,Rare,1,images/Customization/Clown/GK_Head006.png
GK_Head006_01,,268435467,,Savage Smile,A dressy doll hat to match the dark stripes covering his face for a unique performance. Who could mistake that face lurking in the dark,Killer,Head,,Special Event,0,images/Customization/Clown/GK_Head006_01.png
GK_Head007,,268435467,Clown_outfit_007,Jolly Old Clown,"Who could mistake that face? The white beard, the funny red nose and cloth cap. It has to be Santa, right",Killer,Head,Holiday Horror,Very Rare,0,images/Customization/Clown/GK_Head007.png
GK_Head008,,268435467,Clown_outfit_008,Antique Wooden Mask,"A grotesque face, carved out of wood and worn by age. So weathered that it almost looks like skin.",Killer,Head,Disparate Arts,Very Rare,1,images/Customization/Clown/GK_Head008.png
GK_Head009,,268435467,GK_outfit_009,Carved Smile,He carved a smile on his face that oozed with putrid matter.,Killer,Head,Hallowed Catalyst,Special Event,1,images/Customization/Clown/GK_Head009.png
GK_Head010,,268435467,GK_outfit_010,Mr. Puddles’ Disembodied Head,"A silly elephant face that’s sure to bring a smile to the next disemboweled victim. Their insides feel warm and slimy, yay!",Killer,Head,Community,Very Rare,1,images/Customization/Clown/GK_Head010.png
GK_Head011,,268435467,GK_outfit_011,Goatish Skull,"Fearsome horns sprout from Jeffrey’s head and a golden mask, as grisly as his true visage, adorns him.",Killer,Head,Greek Legends,Very Rare,1,images/Customization/Clown/GK_Head011.png
GK_Head012,,268435467,GK_outfit_012,Last Laugh,"It was a lot of work tracking down a killer in his territory and he was getting surly. Enough with the gags, it was time to inflict some pain.",Killer,Head,Crazed Carnie,Rare,1,images/Customization/Clown/GK_Head012.png
GK_Head013,,268435467,GK_outfit_013,Dangling Red Comb,"He smiled and promised chocolate to the kids, so they came rushing in. He still had it.",Killer,Head,Spring Ensemble,Very Rare,1,images/Customization/Clown/GK_Head013.png
GK_Head014,,268435467,GK_outfit_014,Rumpled Top Hat,"The height of clown fashion, balanced precariously on a clownish head.",Killer,Head,Deliverance,Very Rare,1,images/Customization/Clown/GK_Head014.png
GK_Head014_01,,268435467,GK_outfit_014_01,Patterned Top Hat,The sunburn left when wearing this hat was very strange.,Killer,Head,Midsummer Mayhem Collection,Very Rare,0,images/Customization/Clown/GK_Head014_01.png
GK_Head01_01,,268435467,Clown_outfit_002,Thrice-Greatest,,Killer,Head,The Showman,Uncommon,1,images/Customization/Clown/GK_Head01_01.png
GK_Head01_02,,268435467,Clown_outfit_003,The Kybalion,,Killer,Head,The Showman,Uncommon,1,images/Customization/Clown/GK_Head01_02.png
GK_Head01_4A,,268435467,,Crown of The Entity,A crown emanating a festive and ominous aura created by The Entity’s biggest fan.,Killer,Head,Birthday Crown,Special Event,0,images/Customization/Clown/GK_Head01_4A.png
GK_Head01_5A,,268435467,,5th Anniversary Crown,A crown crafted for a very special anniversary.,Killer,Head,5Th Anniversary,Special Event,0,images/Customization/Clown/GK_Head01_5A.png
GK_Head01_WinterEvent2018,,268435467,,Frosty Eyes,Heart chilling eyes of the cold-blooded.,Killer,Head,,Uncommon,0,images/Customization/WinterEvent/GK_Head01_WinterEvent2018.png
GK_Head02,,268435467,Clown_outfit_001,Funny Face Mask,"Turn your distress and tears into jest, your pain and sobbing into a funny face.",Killer,Head,The Entertainer,Very Rare,1,images/Customization/Clown/GK_Head02.png
GK_Head02_03,,268435467,GK_outfit_02_03,Funny Face Mask (Purple),"Sometimes, one requires a mask to hide the anguish and torment within.",Killer,Head,Entertainer,Very Rare,1,images/Customization/Clown/GK_Head02_03.png
GK_Head02_04,,268435467,GK_outfit_02_04,Classic Jack,"Behind the mask was a bitter, angry face demanding blood.",Killer,Head,Halloween 2021,Rare,0,images/Customization/Clown/GK_Head02_04.png
GK_W006,,268435467,Clown_outfit_004,Uncle Carvey,,Killer,Weapon,Street Performer,Rare,1,images/Customization/Clown/GK_W006.png
GK_W007,,268435467,Clown_outfit_007,Letter Opener,"Santa receives a lot of mail, so his letter opener needs to be long and very, very sharp. Would you like to see it",Killer,Weapon,Holiday Horror,Very Rare,0,images/Customization/Clown/GK_W007.png
GK_W008,,268435467,Clown_outfit_008,Theatrical Blade,"Theater knives generally have blades that retract into the handle, to protect the performers. This one doesn't.",Killer,Weapon,Disparate Arts,Very Rare,1,images/Customization/Clown/GK_W008.png
GK_W009,,268435467,GK_outfit_009,Mr. Hallows,A rudimentary stone knife injected with serum to inflict pain in stomach-churning style.,Killer,Weapon,Hallowed Catalyst,Special Event,1,images/Customization/Clown/GK_W009.png
GK_W010,,268435467,GK_outfit_010,Puddlemaker,This special blade is Mr. Puddles’ best buddy. It’s the power of friendship!,Killer,Weapon,Community,Very Rare,1,images/Customization/Clown/GK_W010.png
GK_W011,,268435467,GK_outfit_011,Cerberus Shiv,"A diabolically sharp blade depicting the three-headed hellhound, it encourages its wielder to draw in close and make the battle personal.",Killer,Weapon,Greek Legends,Very Rare,1,images/Customization/Clown/GK_W011.png
GK_W012,,268435467,GK_outfit_012,Fish Gutter,A thin-bladed knife made for gutting fish. Requires a bit of strength but allows for a much more personal feeling when cutting through sinew.,Killer,Weapon,Crazed Carnie,Rare,1,images/Customization/Clown/GK_W012.png
GK_W013,,268435467,GK_outfit_013,Mr. Coco,"This special blade may seem polished and refined, but when used triggers some terrible, agonizing, screams.",Killer,Weapon,Spring Ensemble,Very Rare,1,images/Customization/Clown/GK_W013.png
GK_W013_01,,268435467,GK_outfit_02_04,Carving Knife,A versatile knife that can be used to carve up pumpkins or people.,Killer,Weapon,Halloween 2021,Rare,0,images/Customization/Clown/GK_W013_01.png
GK_W014,,268435467,GK_outfit_014,Shave Blade,A handy razor for shaving that also works for slicing necks. Kind of a two-in-one deal.,Killer,Weapon,Deliverance,Very Rare,1,images/Customization/Clown/GK_W014.png
GK_W014_01,,268435467,GK_outfit_014_01,"Violence, Esq.","A old-fashioned straight razor, perfect for putting up against necks.",Killer,Weapon,Midsummer Mayhem Collection,Very Rare,0,images/Customization/Clown/GK_W014_01.png
GK_W01_01,,268435467,Clown_outfit_002,Dr. Choppy,,Killer,Weapon,The Showman,Uncommon,1,images/Customization/Clown/GK_W01_01.png
GK_W01_02,,268435467,Clown_outfit_003,Sir Cuts-a-Lot,,Killer,Weapon,The Showman,Uncommon,1,images/Customization/Clown/GK_W01_02.png
GK_W02,,268435467,Clown_outfit_001,Mr. Cutty,,Killer,Weapon,The Entertainer,Very Rare,1,images/Customization/Clown/GK_W02.png
GK_W02_01,,268435467,,Ms. Gash,,Killer,Weapon,The Entertainer,Very Rare,1,images/Customization/Clown/GK_W02_01.png
GK_W02_02,,268435467,,Uncle Slicey,,Killer,Weapon,The Entertainer,Very Rare,1,images/Customization/Clown/GK_W02_02.png
GK_W02_03,,268435467,GK_outfit_02_03,Mr. Cutty (Purple),"A large, foldable straight razor, used for more than just providing close shaves.",Killer,Weapon,Entertainer,Very Rare,1,images/Customization/Clown/GK_W02_03.png
GS_Head006,10,,Kate_outfit_010,Morning Daze Shades,,Survivor,Head,Summer Music Fest,Very Rare,1,images/Customization/Kate/GS_Head006.png
GS_Head007,10,,Kate_outfit_011,Caribou Beanie Hat,,Survivor,Head,Alpine Frost,Very Rare,1,images/Customization/Kate/GS_Head007.png
GS_Head007_01,10,,,Claw-Marked Beanie,Soft knitted beanie with a pattern of claw marks as if torn by a leaping tiger. Ideal to keep your head warm and face the worst of winter with flair.,Survivor,Head,,Special Event,0,images/Customization/Kate/GS_Head007_01.png
GS_Head009,10,,Kate_outfit_009_01,Gold Cascade,"Golden waves with matching jewelry may be lavish, but black lipstick shows your artistic side.",Survivor,Head,Gold & Silk,Very Rare,1,images/Customization/Kate/GS_Head009.png
GS_Head010,10,,GS_outfit_010,Silver Moonlight,A bold side buzz with a silver set of shoulder-length locks.,Survivor,Head,The Rebel Star,Very Rare,1,images/Customization/Kate/GS_Head010.png
GS_Head011,10,,GS_outfit_011,Twin Ribbons,"She brushed her neon wig before walking on stage. She had rehearsed before, but nothing could have prepared her for this crowd: dozens of fans screaming, crying, and cheering.",Survivor,Head,Grim Matsuri,Very Rare,1,images/Customization/Kate/GS_Head011.png
GS_Head011_01,10,,GS_outfit_02_03,Ginger Tails,"A rare, vibrant hair color that’s kissed by fire.",Survivor,Head,St. Patrick’S 2022,Rare,0,images/Customization/Kate/GS_Head011_01.png
GS_Head012,10,,GS_outfit_012,Parted Ponytail,A laid-back cut with parted bangs pulled back into a loose ponytail.,Survivor,Head,Escalation,Very Rare,1,images/Customization/Kate/GS_Head012.png
GS_Head013,10,,GS_outfit_013,Wild Crown,A crown made with wildflowers hand-picked by Kate herself.,Survivor,Head,Oktoberfest,Very Rare,1,images/Customization/Kate/GS_Head013.png
GS_Head014,10,,GS_outfit_014,Grand Bow Updo,A big hairstyle that pushes the hair up and adorns it with an eye-catching bow.,Survivor,Head,Rockabilly,Very Rare,1,images/Customization/Kate/GS_Head014.png
GS_Head015,10,,GS_outfit_015,Beach Eyes,"Cool and relaxed, wherever the sun shines.",Survivor,Head,Waterfront Massacre,Very Rare,1,images/Customization/Kate/GS_Head015.png
GS_Head016,10,,GS_outfit_016,Wide Straw Hat,A wide straw hat to protect her head from the blazing sun on a hot summer day.,Survivor,Head,Greek Legends,Very Rare,1,images/Customization/Kate/GS_Head016.png
GS_Head017,10,,GS_outfit_017,Ruby Beret,"Loose ponytail adorned with beret for a chic, yet casual look.",Survivor,Head,Vain Valentine,Very Rare,1,images/Customization/Kate/GS_Head017.png
GS_Head017_01,10,,GS_outfit_017_01,Green Beret,"The audience was very enthusiastic that night; during her encore, she even threw her beret in the crowd.",Survivor,Head,St. Patrick'S 2023 Collection,Very Rare,0,images/Customization/Kate/GS_Head017_01.png
GS_Head018,10,,GS_outfit_018,Lone Star Hat,She’d feel out of place back home if she weren’t wearing one of these.,Survivor,Head,Summer Vacation Collection,Very Rare,1,images/Customization/Kate/GS_Head018.png
GS_Head019,10,,GS_outfit_019,Secretive Noble,"This soldier’s lineage made her a target, forcing her to assume a false identity.",Survivor,Head,Attack On Titan Collection,Very Rare,1,images/Customization/Kate/GS_Head019.png
GS_Head01_01,10,,Kate_outfit_004,Dainty Curls,,Survivor,Head,Sultry Songstress,Uncommon,1,images/Customization/Kate/GS_Head01_01.png
GS_Head01_02,10,,Kate_outfit_003,Debut Night Curls,,Survivor,Head,Sultry Songstress,Uncommon,1,images/Customization/Kate/GS_Head01_02.png
GS_Head01_06,10,,GS_outfit_01_06,Star Seeker,A persona that sings to the sky above with a voice that reveals all.,Survivor,Head,Under The Night Sky,Uncommon,1,images/Customization/Kate/GS_Head01_06.png
GS_Head01_4A,10,,,Crown of The Entity,A crown emanating a festive and ominous aura created by The Entity’s biggest fan.,Survivor,Head,Birthday Crown,Special Event,0,images/Customization/Kate/GS_Head01_4A.png
GS_Head01_5A,10,,,5th Anniversary Crown,A crown crafted for a very special anniversary.,Survivor,Head,5Th Anniversary,Special Event,0,images/Customization/Kate/GS_Head01_5A.png
GS_Head02,10,,Kate_outfit_001,Pony Rider,,Survivor,Head,All Country,Rare,1,images/Customization/Kate/GS_Head02.png
GS_Head020,10,,GS_outfit_020,Wraparound Mic,This microphone allowed to her move around the entire stage with her guitar.,Survivor,Head,Pop Superstar Collection,Very Rare,1,images/Customization/Kate/GS_Head020.png
GS_Head021,10,,GS_outfit_021,Floppy Straw Hat,She borrowed this hat from a local scarecrow and put a cute sunflower on top.,Survivor,Head,Tricks And Treats,Special Event,0,images/Customization/Kate/GS_Head021.png
GS_Head022,10,,GS_outfit_022,Crown of Roses,"Her neighbors expected something run-of-the-mill, but she insisted on taking her concert to the next level.",Survivor,Head,Deck The Trials,Very Rare,0,images/Customization/Kate/GS_Head022.png
GS_Head02_01,10,,Kate_outfit_002,Polite Ponytail,,Survivor,Head,All Country,Rare,1,images/Customization/Kate/GS_Head02_01.png
GS_Head02_02,10,,GS_outfit_02_02,Pony Rider (Dirty Blonde),"A tightly-pulled ponytail, suited to work outdoors or relaxing after hours.",Survivor,Head,All Country,Rare,1,images/Customization/Kate/GS_Head02_02.png
GS_Legs006,10,,Kate_outfit_010,Americana Denim Pants,,Survivor,Legs,Summer Music Fest,Very Rare,1,images/Customization/Kate/GS_Legs006.png
GS_Legs007,10,,Kate_outfit_011,Mountaineer Boots,,Survivor,Legs,Alpine Frost,Very Rare,1,images/Customization/Kate/GS_Legs007.png
GS_Legs009,10,,Kate_outfit_009_01,Slit Leather Skirt,"A classic black leather skirt, accentuated with side slits.",Survivor,Legs,Gold & Silk,Very Rare,1,images/Customization/Kate/GS_Legs009.png
GS_Legs010,10,,GS_outfit_010,Route 66 Leather,"Sleek, fitted leather pants and boots that offer comfort and protection.",Survivor,Legs,The Rebel Star,Very Rare,1,images/Customization/Kate/GS_Legs010.png
GS_Legs011,10,,GS_outfit_011,Neko Denim Shorts,"The first notes blared on stage. The girls started their choreography, landing each move perfectly. Kate took a deep breath, tightened the Neko belt, and headed on stage. It was showtime.",Survivor,Legs,Grim Matsuri,Very Rare,1,images/Customization/Kate/GS_Legs011.png
GS_Legs012,10,,GS_outfit_012,Wild Peony Jeans,"A floral sprig adorns the front of Kate's jeans, as vibrant as her spirit.",Survivor,Legs,Escalation,Very Rare,1,images/Customization/Kate/GS_Legs012.png
GS_Legs013,10,,GS_outfit_013,Rose Apron,"The blouse of a Bavarian-inspired dirndl, draped with a pattern of roses.",Survivor,Legs,Oktoberfest,Very Rare,1,images/Customization/Kate/GS_Legs013.png
GS_Legs014,10,,GS_outfit_014,Hot Mic,"A 50’s inspired skirt, paired with shoes that feature miniature microphone clip-ons.",Survivor,Legs,Rockabilly,Very Rare,1,images/Customization/Kate/GS_Legs014.png
GS_Legs015,10,,GS_outfit_015,Ventura Sarong,"Flowy, breezy, and as cool as they come.",Survivor,Legs,Waterfront Massacre,Very Rare,1,images/Customization/Kate/GS_Legs015.png
GS_Legs016,10,,GS_outfit_016,Gladiator Sandals,"Sturdy pair of leather sandals, both flexible and durable.",Survivor,Legs,Greek Legends,Very Rare,1,images/Customization/Kate/GS_Legs016.png
GS_Legs017,10,,GS_outfit_017,Heart-Patterned Skirt,Ruby red dress matched with thigh-high black boots for the special occasion.,Survivor,Legs,Vain Valentine,Very Rare,1,images/Customization/Kate/GS_Legs017.png
GS_Legs017_01,10,,GS_outfit_017_01,Clover Skirt,"A clover pattern, included for good luck during her set.",Survivor,Legs,St. Patrick'S 2023 Collection,Very Rare,0,images/Customization/Kate/GS_Legs017_01.png
GS_Legs018,10,,GS_outfit_018,Wrap Sandals,"She made the most of her time off, walking through the forests and dreaming up new songs.",Survivor,Legs,Summer Vacation Collection,Very Rare,1,images/Customization/Kate/GS_Legs018.png
GS_Legs019,10,,GS_outfit_019,Royal’s Boots,"Someone special once told her to live a life she is proud of, and she tries to live up to that duty every day.",Survivor,Legs,Attack On Titan Collection,Very Rare,1,images/Customization/Kate/GS_Legs019.png
GS_Legs01_01,10,,Kate_outfit_004,Celebrity Jorts,,Survivor,Legs,Sultry Songstress,Uncommon,1,images/Customization/Kate/GS_Legs01_01.png
GS_Legs01_02,10,,Kate_outfit_003,Last Drinks Jorts,,Survivor,Legs,Sultry Songstress,Uncommon,1,images/Customization/Kate/GS_Legs01_02.png
GS_Legs01_06,10,,GS_outfit_01_06,Sky Wanderer,For when your dancing takes you over the moon and back.,Survivor,Legs,Under The Night Sky,Uncommon,1,images/Customization/Kate/GS_Legs01_06.png
GS_Legs01_CV01,10,,Kate_outfit_005,Ripped Jorts (Charcoal),,Survivor,Legs,Kate Essentials,Common,1,images/Customization/Kate/GS_Legs01_CV01.png
