id,survivorID,killerID,name,role,description,tunables,teachable,image
Hex_Ruin,,268435460,Hex: Ruin,Killer,"A Hex that affects all generator repair progress.<br><br>All generators are affected by <i>Hex: Ruin</i>. While a generator is not being repaired by a Survivor, it will immediately and automatically regress repair progress at {0}% of the normal regression speed.<br><br><li>Once any Survivor is killed by any means, the <i>Hex: Ruin</i> Totem reverts to a Dull Totem.</li><br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i>","[['50', '75', '100'], ['0']]",35,images/Perks/DLC3/iconPerks_ruin.png
Hex_The_Third_Seal,,268435460,Hex: The Third Seal,Killer,A Hex that hinders one's aura reading ability.<br><br>Hitting a Survivor with a <i>basic attack</i> or a <i>special attack</i> while the Hex Totem is active applies the <b>Blindness</b> status effect. This effect applies to the last {0} Survivors hit.<br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i><br><br>Blindness prevents Survivors from seeing auras.,"[['2', '3', '4']]",30,images/Perks/DLC3/iconPerks_theThirdSeal.png
Hex_Thrill_Of_The_Hunt,,,Hex: Thrill of the Hunt,Killer,A Hex rooting its power on hope. The false hope of Survivors fills you with excitement and strengthens your Totems.<br><br>For each Dull and Hex Totem remaining on the map gain a token.<br><br><li>Gain {0}% more Bloodpoints for actions in the Hunter category for each token.</li><li>Survivors' cleansing and blessing speed is reduced by {1}% for each token.</li><br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i>,"[['10'], ['8', '9', '10']]",,images/Perks/DLC3/iconPerks_thrillOfTheHunt.png
Hope,,,Hope,Survivor,The growing odds of a successful escape fill you with hope and give you wings.<br><br>As soon as the exit gates are powered you gain a {0}% <b>Haste</b> status effect.<br><br>Haste increases Survivor movement speed.,"[['5', '6', '7'], ['120']]",,images/Perks/iconPerks_hope.png
ImAllEars,,268435471,I'm All Ears,Killer,Your keen senses are sharpened in the dark realm of The Entity.<br><br>Unlocks potential in one's aura reading ability. Any Survivor performing a rushed action within 48 meters from your location will have their aura revealed for {0} seconds.<br><br><i>I'm All Ears</i> can only be triggered once every {1} seconds.,"[['6'], ['60', '50', '40']]",30,images/Perks/Oman/iconPerks_imAllEars.png
InfectiousFright,,268435470,Infectious Fright,Killer,The cries of the unfaithful make your heart leap.<br><br>Any Survivors that are within your Terror Radius while another Survivor is put into the dying state will scream and reveal their location to you for {0} seconds.,"[['4', '5', '6']]",35,images/Perks/Mali/iconPerks_infectiousFright.png
InnerStrength,17,,Inner Healing,Survivor,"You look inward and trust your instincts when you feel lost and alone.<br><br>Each time you complete a Totem cleanse action, <i>Inner Healing</i> activates. If you are already afflicted by the <b>Broken</b> status effect, <i>Inner Healing</i> does not activate.<br><br>While&nbsp;<i>Inner Healing</i> is active, hiding inside a locker for {0} seconds while injured automatically heals you from injured to healthy.<br><br><i>Inner Healing</i>&nbsp;becomes deactivated as soon as it has successfully triggered.","[['10', '9', '8']]",,images/Perks/Qatar/iconPerks_innerStrength.png
Insidious,,,Insidious,Killer,"Unlocks the stealth ability.<br><br>Standing still for {0}&nbsp;seconds grants you the <b>Undetectable</b> status effect until you move or act again.<br><br>Undetectable hides the Killer's aura, Terror Radius, and Red Stain.","[['4', '3', '2'], ['0']]",,images/Perks/iconPerks_insidious.png
InTheDark,,268435464,Knock Out,Killer,"The trauma caused by your brutal attacks makes crying for help painfully difficult.<br><br><li>Survivors put into the dying state by your basic attacks are not revealed to other Survivors when they are standing outside of a {2}-meter range.</li><li>Survivors put into the dying state by your basic attacks crawl {1}% slower for {0} seconds, and their recovery speed is reduced by 25%.</li><li>During this time, Survivors are affected by the <b>Blindness</b> status effect.</li><br><br>Blindness prevents Survivors from seeing auras.","[['15'], ['50'], ['32', '24', '16']]",30,images/Perks/Cannibal/iconPerks_knockOut.png
Ironmaiden,,268435469,Iron Maiden,Killer,"You open lockers {0}% faster.<br><br>Survivors who exit lockers suffer from the <b>Exposed</b> status effect for {2} seconds and scream, revealing their location for {1} seconds.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['30', '40', '50'], ['4'], ['30']]",40,images/Perks/Kenya/iconPerks_ironMaiden.png
Iron_Grasp,,,Iron Grasp,Killer,Your powerful hold on the Survivors causes escapes to be nearly impossible.<br><br>Effects of Survivor struggling are reduced by {0}%. Time to struggle out of your grasp is increased by {1}%.,"[['75'], ['4', '8', '12']]",,images/Perks/iconPerks_ironGrasp.png
Iron_Will,3,,Iron Will,Survivor,You're able to concentrate and enter a meditative-like state to numb some pain. Grunts of pain caused by injuries are reduced by {0}%. Does not function while <b>Exhausted</b>. Does not inflict <b>Exhausted</b>.<br><br>Exhausted prevents Survivors from activating exhausting perks.,"[['25', '50', '75']]",30,images/Perks/iconPerks_ironWill.png
K22P01,,268435477,Hoarder,Killer,You protect what little you have and are attentive to any disturbance of your stockpiles.<br><br>Survivors reveal their location when they interact with a&nbsp;chest&nbsp;or when they pick up an item within&nbsp;{0} meters of your location.<br><br>The trial begins with up to&nbsp;{1} additional&nbsp;chests in the environment.,"[['32', '48', '64'], ['2']]",30,images/Perks/Aurora/iconPerks_Hoarder.png
K22P02,,268435477,Oppression,Killer,"Life has been difficult for you,&nbsp;so you’ll make it difficult for others.<br><br>When you damage a generator, up to&nbsp;{0} other random generators also begin regressing.<br><br>If the affected generators are being repaired, any Survivors repairing them receive a difficult Skill Check.<br><br><i>Oppression</i> has a cooldown of {1} seconds.","[['3'], ['120', '100', '80']]",35,images/Perks/Aurora/iconPerks_Oppression.png
K22P03,,268435477,Coup de Grâce,Killer,"As the&nbsp;end nears,&nbsp;you go in for the kill.<br><br>Each time a generator is completed, Coup de Grâce grows in power. Gain a token.<br><br>Consume one token to increase the distance of your next lunge attack by {0}%.","[['70', '75', '80']]",40,images/Perks/Aurora/iconPerks_coupDeGrace.png
K23P01,,268435478,Starstruck,Killer,"Your unmatched showmanship dazzles all.<br><br>While carrying a Survivor, any other Survivors within your Terror Radius suffer from the <b>Exposed</b> status effect.<br><br>The effect persists for {0} seconds on Survivors who leave your Terror Radius, as well as those within the radius when you hook or release the carried Survivor.<br><br><i>Starstruck</i> has a cooldown of {1} seconds once a Survivor is no longer carried.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['26', '28', '30'], ['60']]",30,images/Perks/Comet/iconPerks_Starstruck.png
K23P02,,268435478,Hex: Crowd Control,Killer,A Hex that ensures those lesser than you are properly herded.<br><br>The Entity blocks a window for {0} seconds after a Survivor performs a <b>rushed</b> vault through it.<br><br><i>The Hex effects persist as long as the related Hex Totem is standing.</i>,"[['14', '17', '20']]",35,images/Perks/Comet/iconPerks_HexCrowdControl.png
K23P03,,268435478,No Way Out,Killer,"You're not going to let just anyone into the VIP room.<br><br>After hooking a Survivor for the first time, <i>No Way Out</i> gains a token. <b>Once the exit gates have been powered</b>, <i>No Way Out</i> activates.<li>When a Survivor interacts with an exit gate switch, you receive a loud noise notification. The Entity then blocks both exit gate switches for {0} seconds, plus an additional {1} seconds for each token in your possession.</li>","[['12'], ['6', '9', '12']]",40,images/Perks/Comet/iconPerks_NoWayOut.png
K24P01,,268435479,Lethal Pursuer,Killer,"You've been designed to track down and eliminate targets.<br><br><li>At the start of the trial, the auras of all Survivors are revealed to you for {0} seconds.</li><li>Any time a Survivor's aura is shown for a period of time, its duration is increased by 2 seconds.</li>","[['7', '8', '9']]",30,images/Perks/Eclipse/iconPerks_lethalPursuer.png
K24P02,,268435479,Hysteria,Killer,"You know how to brutalize one member of a team to cause a panic.<br><br>Whenever a healthy Survivor becomes injured by any means, all injured Survivors suffer from the <b>Oblivious</b> status effect for {0} seconds.<br><br><i>Hysteria</i> can only trigger once every {1} seconds.<br><br>Oblivious prevents Survivors from hearing or being affected by the Killer's Terror Radius.","[['20', '25', '30'], ['30']]",35,images/Perks/Eclipse/iconPerks_hysteria.png
K24P03,,268435479,Eruption,Killer,"The NE-α parasite provides you with the intelligence and awareness needed to set a trap.<br><br>After damaging a generator, its aura is highlighted in yellow.<br><br><li>Whenever a Survivor enters the dying state, every affected generator explodes, losing {0}% worth of <i>current</i> progress, and starts to regress.</li><li>Any Survivor repairing a generator when it explodes will scream and reveal their aura for {1} seconds.</li><br><br><i>Eruption</i> has a cooldown of {2} seconds.","[['10'], ['8', '10', '12'], ['30']]",40,images/Perks/Eclipse/iconPerks_eruption.png
K25P01,,268435480,Deadlock,Killer,"You induce mental suffering by crushing any hope of escape.<br><br>After a generator is repaired, The Entity blocks the generator with the most progress for {0} seconds. You see its white aura during this time.","[['20', '25', '30'], ['20', '25', '30']]",30,images/Perks/Gemini/iconPerks_Deadlock.png
K25P02,,268435480,Hex: Plaything,Killer,"A Hex that toys with a victim's suffering.<br><br>The first time you hook a Survivor, they become Cursed and <i>Hex: Plaything</i> activates on a Dull Totem. The Cursed Survivor suffers from the <b>Oblivious</b> status effect until <i>Hex: Plaything</i> is cleansed.<br><br><i>Hex: Plaything</i>'s totem aura is revealed to the Cursed Survivor when within {0} meters of it. For the first {1} seconds, only the Cursed Survivor can cleanse the totem.<br><br>Oblivious prevents Survivors from hearing or being affected by the Killer's Terror Radius.","[['24', '20', '16'], ['90']]",35,images/Perks/Gemini/iconPerks_HexPlaything.png
K25P03,,268435480,Scourge Hook: Gift of Pain,Killer,"You are the bringer of sweet pain.<br><br>At the start of the trial, up to {0} random hooks are changed into scourge hooks. You see their auras in white.<br><br>When a Survivor is unhooked from a scourge hook, they suffer from the <b>Hemorrhage</b> and <b>Mangled</b> status effect until fully healed. The first time the Survivor is healed, they suffer a {1}% speed penalty to healing and repairing actions until injured again.<br><br>Hemorrhage regresses healing progress when not healing, and increases blood trails left by injured Survivors.<br><br>Mangled increases time required to heal by 25% and lasts until fully healed.","[['4'], ['10', '13', '16']]",40,images/Perks/Gemini/iconPerks_ScourgeHookGiftOfPain.png
K26P01,,268435481,Grim Embrace,Killer,"Your act of servitude to The Entity has not gone unnoticed.<br><br>Each time a Survivor is hooked for the first time, you gain a token. Upon reaching {0} tokens <i>Grim Embrace</i> activates.<br><br>The Entity blocks all generators for {1} seconds. The Obsession's aura is revealed to you for {2} seconds.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.","[['4'], ['30', '35', '40'], ['5']]",30,images/Perks/Ion/T_iconPerks_grimEmbrace.png
K26P02,,268435481,Scourge Hook: Pain Resonance,Killer,"Overwhelming pain reverberates outwards into chaos.<br><br>At the start of the trial, up to {0} random hooks are changed into scourge hooks. You see their auras in white.<br><br>Any time a Survivor is hooked on a scourge hook, the generator with the most progress explodes, instantly losing {1}% progress, and will start to regress.","[['4'], ['9', '12', '15']]",35,images/Perks/Ion/T_iconPerks_painResonance.png
K26P03,,268435481,Hex: Pentimento,Killer,"You reveal the true power of the Totems, hidden within their remains.<br><br>You see the aura of destroyed Totems. You can perform a ritual on a destroyed Totem to rekindle it as a Hex Totem for Hex: Pentimento. For each Hex Totem active at the same time, Hex: Pentimento gains an additional effect.<br><br><li>1 Hex Totem: Decreases Survivors' repair speed by {0}%.</li><li>2 Hex Totems: Decreases Survivors' healing speed by {1}%.</li><li>3 Hex Totems: Decreases Survivors' recovery speed from being downed by {2}%.</li><li>4 Hex Totems: Decreases Survivors' exit gate opening speed by {3}%.</li><li>5 Hex Totems: All Totems are blocked by the Entity.</li><br><br>When a previously rekindled Hex Totem is removed by any means, its remains are consumed by The Entity and it cannot be rekindled again.","[['20', '25', '30'], ['20', '25', '30'], ['20', '25', '30'], ['20', '25', '30']]",40,images/Perks/Ion/T_iconPerks_hexPentimento.png
K27P01,,268435482,Scourge Hook: Floods of Rage,Killer,"You form a psychic connection with The Entity and alter the rules of the trial.<br><br>At the start of the trial, up to {0} random hooks are changed into scourge hooks. You see their auras in white.<br><br>When a Survivor is unhooked from a scourge hook, all other Survivors have their auras revealed for {1} seconds.","[['4'], ['5', '6', '7']]",30,images/Perks/Kepler/iconPerks_floodOfRage.png
K27P02,,268435482,Call of Brine,Killer,"Your psychic abilities influence technology in devastating ways.<br><br>After damaging a generator this perk becomes active for {0} seconds.<br><br>The generator regresses at {1}% of the normal regression speed and you can see its aura in yellow.<br><br>Each time a Survivor completes a good Skill Check on a generator affected by this perk, you receive a loud noise notification.","[['60'], ['150', '175', '200']]",35,images/Perks/Kepler/iconPerks_callOfBrine.png
K27P03,,268435482,Merciless Storm,Killer,"Your horrible trauma is felt by everyone.<br><br>When a generator reaches {0}% progress, Survivors working on the generator will be faced with continuous Skill Checks. If they miss or stop repairing, the generator is blocked by the Entity for {1} seconds.<br><br><i>Merciless Storm</i> can only trigger once per generator per trial.","[['90'], ['16', '18', '20']]",40,images/Perks/Kepler/iconPerks_mercilessStorm.png
K28P01,,268435483,Dissolution,Killer,"Everything turns to dust. It is as inescapable as the coming of the night.<br><br>{1} seconds after injuring a Survivor by any means, Dissolution activates for {0} seconds. While Dissolution is active, if a Survivor fast vaults over a pallet inside of your Terror Radius, The Entity will break the pallet at the end of the vault, and Dissolution deactivates.","[['12', '16', '20'], ['3']]",30,images/Perks/Meteor/iconPerks_Dissolution.png
K28P02,,268435483,Darkness Revealed,Killer,"In your presence, places once thought to be safe are perhaps the most dangerous.<br><br>When you search a locker, the auras of all Survivors within {2} meters of any lockers are revealed to you for {0} seconds.<br><br>This perk has a {1}-second cooldown.","[['3', '4', '5'], ['30'], ['8']]",35,images/Perks/Meteor/iconPerks_DarknessRevelated.png
K28P03,,268435483,Septic Touch,Killer,"The Land of Shadows subsumes all. Healing only delays the inevitable.<br><br>Whenever a Survivor performs the healing action within your Terror Radius, that Survivor suffers from <b>Blindness</b> and <b>Exhausted</b>.<br><br>These effects linger for {0} seconds after a healing action is interrupted by any means.<br><br>Blindness prevents Survivors from seeing auras.<br><br>Exhausted prevents Survivors from activating exhausting perks.","[['6', '8', '10']]",40,images/Perks/Meteor/iconPerks_SepticTouch.png
K29P01,,268435484,Superior Anatomy,Killer,"Decades of research have culminated in you: something faster, stronger, and more dangerous than any human.<br><br>When a Survivor performs a fast vault within {1} meters of you, this perk activates. The next time you vault a window, your vaulting speed is increased by {0}%.<br><br>This perk deactivates after vaulting a window.<br><br>This perk has a {2} second cooldown.","[['30', '35', '40'], ['8'], ['30']]",30,images/Perks/Orion/iconPerks_SuperiorAnatomy.png
K29P02,,268435484,Awakened Awareness,Killer,"Your genes have been altered to heighten your senses in intense situations.<br><br>When carrying a Survivor, you can see the aura of other Survivors within {0} meters of your position.","[['16', '18', '20'], ['2']]",35,images/Perks/Orion/iconPerks_AwakenedAwarenesss.png
K29P03,,268435484,Terminus,Killer,"You are a brilliant tactician who prepares for every eventuality.<br><br>When exit gates are powered, this perk activates. While Terminus is active, injured, downed and hooked Survivors are inflicted with the <b>Broken</b> status effect until exit gates are open.<br><br>When exit gates are open, Survivors will stay <b>Broken</b> for an additional {0} seconds.<br><br>Broken prevents Survivors from being healed.","[['20', '25', '30']]",40,images/Perks/Orion/iconPerks_Terminus.png
K30P01,,268435485,Nowhere to Hide,Killer,"The machinations of the weak and craven draw your ire. Your anger forces Survivors to reveal themselves.<br><br>Whenever you damage a generator, reveal the aura of all Survivors standing within {0} meters of your position for {1} seconds.","[['24'], ['3', '4', '5']]",30,images/Perks/Quantum/iconPerks_NowhereToHide.png
K30P02,,268435485,Hex: Face the Darkness,Killer,"You make an example of one of your victims, forcing their allies to become awed by your power.<br><br>Injuring a Survivor by any means lights a Dull Totem, activating the Hex.<br><br>While the Hex is active, all other Survivors outside of your Terror Radius will scream every {0} seconds, revealing their positions and auras for {1} seconds.<br><br>When the Survivor enters the dying state or becomes healthy, the Hex totem becomes dull again and this perk deactivates.<br><br><i>If the Hex totem is cleansed, this perk is permanently disabled.</i>","[['35', '30', '25'], ['2']]",35,images/Perks/Quantum/iconPerks_HexFaceTheDarkness.png
K30P03,,268435485,Hubris,Killer,"You show no mercy, especially to those foolish enough to resist.<br><br>Whenever you are stunned by a Survivor, that Survivor suffers from the Exposed status effect for {0} seconds.<br><br><i>Hubris</i> has a cooldown of {1} seconds.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['10', '15', '20'], ['20']]",40,images/Perks/Quantum/iconPerks_Hubris.png
K31P01,,268435486,Game Afoot,Killer,"First you pick your prey. Then you pick it apart.<br><br>While you are chasing the Obsession, this perk activates.<br><br>Damaging generators and breaking walls or pallets gives you a {0}% Haste Status for {1} seconds.<br><br>Whenever you hit the Survivor with the total most time in chase with a basic attack, they become the obsession.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.","[['5'], ['8', '9', '10']]",30,images/Perks/Saturn/iconPerks_GameAfoot.png
K31P02,,268435486,THWACK!,Killer,"Your prey is terrified by your relentless pursuit.<br><br>After hooking a Survivor, the next breakable wall or pallet you break will make Survivors within {0} meters scream and reveal their aura for {1} seconds.<br><br><i>THWACK!</i> is active for&nbsp;{2} seconds after the Survivor is hooked.","[['32'], ['4'], ['45', '60', '75']]",30,images/Perks/Saturn/iconPerks_Thwack.png
K31P03,,268435486,Leverage,Killer,"Like in business, you profit most when those around you suffer most.<br><br>Each time you hook a Survivor, gain {0} token, up to {1}.<br><br>When you hook a Survivor, this perk activates. For each token, reduces the speed at which Survivors heal by {2}% for {3} seconds.","[['1'], ['10'], ['3', '4', '5'], ['30']]",30,images/Perks/Saturn/iconPerks_Leverage.png
Kindred,,,Kindred,Survivor,"Unlocks potential in one's aura reading ability. While you are on the hook, all Survivor's auras are revealed to all other Survivors. If The Killer is within a {0} meter range, The Killer's aura is revealed to all other Survivors.<br><br>While a Survivor other than you is on the hook, all other Survivors’ auras are revealed to you. If The Killer is within a {0} meter range of the hooked Survivor, The Killer's aura is revealed to you.","[['8', '12', '16']]",,images/Perks/iconPerks_kindred.png
Leader,0,,Leader,Survivor,"You're able to organize a team to cooperate more efficiently. Increases other Survivors' healing, sabotage, unhooking, cleansing, opening exit gates, and chest unlocking speeds by {0}% when they are within a {1} meter range from you.<br><br>Survivors can only be affected by one Leader effect at a time.<br><br>This effect persists on other Survivors for {2} seconds after leaving the Leader's effective perk range.","[['15', '20', '25'], ['8'], ['15']]",40,images/Perks/iconPerks_leader.png
LeftBehind,7,,Left Behind,Survivor,"Unlocks potential in one's aura reading ability.<br><br>If you are the last Survivor remaining in the trial, you can see the aura of the Hatch within a {0} meter range.","[['24', '28', '32']]",30,images/Perks/L4D/iconPerks_leftBehind.png
Lightborn,,268435458,Lightborn,Killer,"Unlike other beasts of The Fog, you have adapted to light.<br><br>You are immune to blindness caused by Flashlights, firecrackers, flashbangs, and blast mines. Survivors that attempt blinding you have their aura revealed for {0} seconds.","[['6', '8', '10']]",35,images/Perks/iconPerks_lightborn.png
Lightweight,,,Lightweight,Survivor,"Your running is light and soft, making your tracks harder to follow. Scratch marks stay visible {0} seconds less than normal, and their spacing is inconsistent.","[['3', '4', '5']]",,images/Perks/iconPerks_lightweight.png
Lithe,8,,Lithe,Survivor,"After performing a <b>rushed</b> vault, break into a sprint at {0}% of your normal running speed for a maximum of {1} seconds.<br><br>Causes the <b>Exhausted</b> status effect for {2} seconds.<br><br><i>Lithe</i> cannot be used while <b>Exhausted</b>.<br><br>Exhausted prevents Survivors from activating exhausting perks.","[['150'], ['3'], ['60', '50', '40']]",35,images/Perks/DLC4/iconPerks_lithe.png
LuckyBreak,19,,Lucky Break,Survivor,"You’ve had your share of scrapes and bruises, but luck’s always on your side.<br><br><i>Lucky Break</i> activates any time you are injured. While <i>Lucky Break</i> is active, you won’t leave trails of blood or scratch marks for a total of {0} seconds.<br><br>For each 1 second spent healing another Survivor, increase <i>Lucky Break</i>'s duration by 1 second. <i>Lucky Break</i>'s duration cannot increase beyond its starting value.","[['40', '50', '60']]",30,images/Perks/Sweden/iconPerks_luckyBreak.png
MadGrit,,268435469,Mad Grit,Killer,"While carrying a Survivor, you suffer no cooldown for missed <i>basic attacks</i> and successfully hitting another Survivor with a <i>basic attack</i> will pause the carried Survivor’s wiggle timer for {0} seconds.","[['2', '3', '4']]",35,images/Perks/Kenya/iconPerks_madGrit.png
MakeYourChoice,,268435466,Make your Choice,Killer,"When a Survivor rescues another from a hook at least {0} meters away from you, <i>Make your Choice</i> causes the Survivor to scream and applies the <b><i>Exposed</i></b> status effect to them for {1} seconds.<br><br><i>Make your Choice</i> has a cooldown of {2} seconds.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['32'], ['40', '50', '60'], ['40', '50', '60']]",40,images/Perks/Finland/iconPerks_makeYourChoice.png
Mindbreaker,,268435472,Fearmonger,Killer,"Your distressing presence drains and weakens your prey.<br><br>While repairing generators, Survivors are afflicted by the <b>Blindness</b> and <b>Exhausted</b> status effect.<br><br>Any existing <b>Exhausted</b> status effect timers are paused while the Survivor is repairing a generator. After ending the repair action, the Survivor is afflicted by the <b>Blindness</b> and <b>Exhausted</b> status effect for&nbsp;{1} seconds.<br><br>Blindness prevents Survivors from seeing auras.<br><br>Exhausted prevents Survivors from activating exhausting perks.","[['50'], ['3', '4', '5']]",,images/Perks/Qatar/iconPerks_mindBreaker.png
MonitorAndAbuse,,268435462,Monitor & Abuse,Killer,"Meticulous in your approach, terrifying in your application.<br><br>While in a chase, your Terror Radius is increased by {0} meters. Otherwise, your Terror Radius is decreased by {0} meters and your field of view is increased by {1} degrees.<br><br><i>Field of view gains do not stack.</i>","[['8'], ['3', '5', '10']]",35,images/Perks/DLC4/iconPerks_monitorAndAbuse.png
Monstrous_Shrine,,,Scourge Hook: Monstrous Shrine,Killer,"Your fervent care of the hooks found in the basement have aroused The Entity's interest.<br><br>At the start of the trial, up to {0} random hooks are changed into scourge hooks. You see their auras in white.<br><br><li>Scourge Hooks grant&nbsp;{1}%&nbsp;faster Entity progression if the Killer is not within 24 meters.</li><br><br>Basement hooks count as Scourge Hooks.","[['4'], ['10', '15', '20']]",,images/Perks/iconPerks_monstrousShrine.png
Nemesis,,268435473,Nemesis,Killer,"You seek retribution on those who have wronged you.<br><br>A Survivor who blinds you or stuns you using a pallet or locker becomes your Obsession. Anytime a new Survivor becomes the Obsession, they are affected by the Oblivious status effect for {0}&nbsp;seconds and their aura is shown to you for {1}&nbsp;seconds.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.<br><br>Oblivious prevents Survivors from hearing or being affected by the Killer's Terror Radius.","[['40', '50', '60'], ['4']]",40,images/Perks/Sweden/iconPerks_nemesis.png
NoMither,9,,No Mither,Survivor,You are affected by the <b>Broken</b> status effect for the duration of the trial.<br><br>Your thick blood coagulates practically instantly.<li>You don't leave pools of blood.</li><li>Grunts of pain caused by injuries are reduced by {0}% at any time.</li><li>Your recovery speed is increased by {1}% and you can completely recover from the dying state.</li><br><br>Broken prevents Survivors from being healed.,"[['25', '50', '75'], ['15', '20', '25']]",40,images/Perks/DLC5/iconPerks_NoMither.png
No_One_Escapes_Death,,,Hex: No One Escapes Death,Killer,"A Hex rooting its power on hope. You are animated by the power of your Hex Totem when the Survivors are on the verge of escaping.<br><br>Once the exit gates are powered, if there is a Dull Totem remaining on the map, this Hex is applied to it.<br><br><br>While this Hex is active,<li>Survivors suffer from the <b>Exposed</b> status effect.</li><li>Your movement speed is increased by {0}%.</li><br><br>Once the Hex's effect is revealed to the Survivors, its Hex Totem's aura is shown to the Survivors at a range of&nbsp;4 meters. This range increases steadily over the next 30 seconds to 24 meters.<br><br>The Hex effects persist as long as the related Hex Totem is standing.<br><br>Exposed Survivors will be downed by basic attacks even if uninjured.","[['2', '3', '4']]",,images/Perks/iconPerks_noOneEscapesDeath.png
No_One_Left_Behind,,,No One Left Behind,Survivor,"It is inconceivable to leave someone behind. Once the exit gates are powered, you gain the following effects:<br><br><li>{0}%&nbsp;additional Bloodpoints for healing and unhooking other Survivors.</li><li>{1}%&nbsp;bonus action speed when healing and unhooking other Survivors.</li><li>When unhooking a Survivor, they gain a 7% movement bonus for 10 seconds.</li><li>The auras of all other Survivors are revealed to you.</li>","[['50', '75', '100'], ['30', '40', '50']]",,images/Perks/iconPerks_noOneLeftBehind.png
NurseCalling,,268435459,A Nurse's Calling,Killer,Unlocks potential in one's aura reading ability. The auras of Survivors who are healing or being healed are revealed to you when they are within a {0} meter range.,"[['20', '24', '28']]",40,images/Perks/iconPerks_aNursesCalling.png
ObjectOfObsession,5,,Object of Obsession,Survivor,"A supernatural bond links you to the Killer.<br><br>Whenever your aura is revealed to the Killer, the Killer's aura becomes visible to you and you gain a {0}% bonus to healing, repairing and cleansing speed.<br><br>If you are the Obsession, your aura is revealed to the Killer for 3 seconds once every 30 seconds.<br><br>Increases your chances of being the Obsession.<br><br><i>The Killer can only be obsessed with one Survivor at a time.</i>","[['2', '4', '6']]",35,images/Perks/DLC2/iconPerks_objectOfObsession.png
OffTheRecord,20,,Off the Record,Survivor,"You’ve learned that a quiet approach is sometimes best.<br><br>Once you are unhooked or escape from the hook, <i>Off the Record</i> activates for {0} seconds. This perk and its effects are disabled once the exit gates are powered.<br><br>While <i>Off the Record</i> is active:<li>Your aura will not be shown to The Killer.</li><li>Grunts of pain caused by injuries are reduced by 100%.</li><li>Gain the <b>Endurance</b> status effect.</li><br><br>Endurance prevents a survivor from being downed, inflicting Deep Wound instead.","[['60', '70', '80'], ['100']]",30,images/Perks/Ukraine/iconPerks_offTheRecord.png
Open_Handed,6,,Open-Handed,Survivor,Strengthens the potential of you and your team's aura reading abilities.<br><br><li>Increases aura reading ranges by {0} meters.</li><li>Survivors may only be affected by one <i>Open-Handed</i> effect at a time.</li>,"[['8', '12', '16']]",30,images/Perks/DLC3/iconPerks_openHanded.png
OverwhelmingPresence,,268435462,Overwhelming Presence,Killer,Just knowing you are near is enough to disturb your victims.<br><br>Survivors within your Terror Radius suffer from inefficiency.<br><br>Affected Survivors' item consumption rates are increased by {0}%.,"[['80', '90', '100']]",30,images/Perks/DLC4/iconPerks_overwhelmingPresence.png
Pharmacy,11,,Pharmacy,Survivor,"You have a knack for finding medicine. When injured, <i>Pharmacy</i> activates.<br><br>While active:<br><br><li>Unlocking chests is {0}% faster.</li><li>The hearing distance for noises from unlocking chests are reduced by 8 meters.</li><li><i>Pharmacy</i> guarantees an Emergency Med-kit upon completing the interaction.</li><br>","[['40', '60', '80']]",35,images/Perks/England/iconPerks_pharmacy.png
Play_With_Your_Food,,268435461,Play With Your Food,Killer,"You become <b>obsessed</b> with one Survivor.<br><br>Every time you chase your Obsession and let them escape, you receive a token up to a maximum of {0} tokens.<br><br>Each token increases your movement speed by {1}%.<br><br>Performing a <i>basic attack</i> or <i>Special Attack</i> spends one token.<br><br>The Killer can only be <b>obsessed</b> with one Survivor at a time.","[['3'], ['3', '4', '5']]",35,images/Perks/DLC2/iconPerks_playWithYourFood.png
Plunderers_Instinct,,,Plunderer's Instinct,Survivor,Unlocks potential in one's aura reading ability. The auras of unopened chests and items in the environment are revealed to you when standing within a {0} meter range. Grants a <b>considerably</b> better chance at finding an item of higher rarity from chests.,"[['16', '24', '32']]",,images/Perks/iconPerks_plunderersInstinct.png
Poised,15,,Poised,Survivor,"Achieving goals boosts your confidence.<br><br>After a generator is completed, you leave no scratch marks for {0} seconds.","[['6', '8', '10']]",35,images/Perks/Mali/iconPerks_poised.png
pop_goes_the_weasel,,268435467,Pop Goes the Weasel,Killer,"A deep bond with The Entity unlocks great strength.<br><br>After hooking a Survivor, the next generator you damage instantly loses {0}% of its current progress. Normal generator regression applies after the Damage Generator action.<br><br><i>Pop Goes the Weasel</i> is active for {1} seconds after the Survivor is hooked.","[['20'], ['35', '40', '45']]",40,images/Perks/Guam/iconPerks_popGoesTheWeasel.png
Predator,,268435457,Predator,Killer,Your acute tracking ability allows you to hone in on disturbances left by running Survivors.<br><br>Scratch marks left by Survivors will spawn slightly closer together.,[],30,images/Perks/iconPerks_predator.png
